changes = Time vs nsites vs nqubits0 vs h vs nlayers

g_converged min_loss iter nsites nqubits0 h nlayers time
true 0.009031577593344525 2643 9 2 0.46 2 41.67
true 0.0033818262954818656 5672 9 2 0.46 3 121.75
true 0.006360491391352668 11238 9 2 0.46 4 307.61
true 0.10854271223899728 190 9 2 0.48 1 1.97
true 0.03617538571944118 2496 9 2 0.48 2 38.5
true 0.01693141887337682 3565 9 2 0.48 3 81.73
true 0.013728703758808969 14112 9 2 0.48 4 413.07
true 0.17773562668350745 199 9 2 0.5 1 2.05
true 0.044734132858877035 1226 9 2 0.5 2 18.66
true 0.04400202036767517 1622 9 2 0.5 3 38.27
true 0.015102680935357271 7973 9 2 0.5 4 219.17
true 0.21968317389964198 167 9 2 0.52 1 1.87
true 0.050147885875400505 935 9 2 0.52 2 14.79
true 0.033060057903398 2790 9 2 0.52 3 62.85
true 0.02711625493411393 13786 9 2 0.52 4 380.85
true 0.19302010325002378 152 9 2 0.54 1 1.67
true 0.0564142456315703 1218 9 2 0.54 2 18.29
true 0.035879264421575824 2893 9 2 0.54 3 64.91
true 0.006444622750162832 12360 9 2 0.54 4 342.11
true 0.23299477448231914 225 9 2 0.56 1 2.18
true 0.06582280051998562 858 9 2 0.56 2 14.5
true 0.03675138629557051 6577 9 2 0.56 3 141.46
true 0.026605848671471893 12976 9 2 0.56 4 365.59
true 0.236884120808389 187 9 2 0.58 1 1.84
true 0.022955548635630457 633 9 2 0.58 2 11.15
true 0.04060740866191451 5256 9 2 0.58 3 113.76
true 0.0281133658215022 17047 9 2 0.58 4 480.31
true 0.24762652031961258 183 9 2 0.6 1 1.92
true 0.09899038983644362 1507 9 2 0.6 2 22.75
true 0.2033709665979096 3133 9 2 0.6 3 69.92
true 0.0011416674103938984 13388 9 2 0.6 4 371.11
true 3.0899771469306003e-7 346 9 3 0.0 1 2.52
true 2.0376966499332147e-6 608 9 3 0.0 2 8.74
true 4.387904855148357e-6 1515 9 3 0.0 3 28.06
true 1.4258107916646315e-5 4443 9 3 0.0 4 112.27
true 2.7616700309929243e-7 240 9 3 0.02 1 1.85
true 1.0945611363573822e-7 552 9 3 0.02 2 7.89
true 3.3003118746581053e-6 2355 9 3 0.02 3 41.61
true 5.628203294620142e-6 2347 9 3 0.02 4 56.8
true 0.33333363006175487 235 9 3 0.04 1 1.78
true 5.807388103277559e-6 873 9 3 0.04 2 11.08
true 4.061161680851688e-5 2005 9 3 0.04 3 36.91
true 5.3869065086957026e-5 3068 9 3 0.04 4 70.64
true 2.8852178720450983e-5 182 9 3 0.06 1 1.69
true 2.226096790014509e-6 1285 9 3 0.06 2 15.41
true 1.1418516311830404e-5 1312 9 3 0.06 3 25.27
true 2.3691482994470103e-5 2987 9 3 0.06 4 71.81
true 2.5651116347669145e-7 185 9 3 0.08 1 1.53
true 5.948221811398943e-7 607 9 3 0.08 2 8.84
true 3.2846429911526087e-6 1606 9 3 0.08 3 29.24
true 2.3353554171416193e-6 1670 9 3 0.08 4 46.67
