changes = Time vs h

g_converged min_loss iter nsites nqubits0 h nlayers time
true 0.14562741282878516 4752 8 7 0.38 3 68.48
true 0.002930518616717646 23559 8 7 0.38 4 452.16
true 0.16645135686498186 265 8 7 0.4 1 1.8
true 0.018270166664546172 2249 8 7 0.4 2 24.13
true 0.02766895569697245 2994 8 7 0.4 3 44.98
true 0.004036403606087836 4692 8 7 0.4 4 89.79
true 0.2928389373566314 368 8 7 0.42 1 2.63
true 0.0172691364556396 1102 8 7 0.42 2 12.39
true 0.011098054646038127 6808 8 7 0.42 3 103.13
true 0.0026168291993582077 22546 8 7 0.42 4 426.64
true 0.17814313749838703 672 8 7 0.44 1 4.67
true 0.06676738587271494 752 8 7 0.44 2 8.84
true 0.04188976446098214 3095 8 7 0.44 3 48.38
true 0.0005950368320369405 10850 8 7 0.44 4 204.73
true 0.26288673139251395 289 8 7 0.46 1 2.05
true 0.010336396645996735 530 8 7 0.46 2 6.5
true 0.00021527461668640374 3257 8 7 0.46 3 48.31
true 0.0009500786674772373 13163 8 7 0.46 4 243.71
true 0.2066315120931545 248 8 7 0.48 1 1.6
true 0.15423907479763127 1731 8 7 0.48 2 18.15
true 0.00029693557197439457 6174 8 7 0.48 3 73.24
true 0.06172960897002429 10161 8 7 0.48 4 155.52
true 0.3491148529133236 424 8 7 0.5 1 2.42
true 0.012203077036675789 2619 8 7 0.5 2 23.87
true 0.22638377506136617 4622 8 7 0.5 3 59.43
true 0.010541011456017633 27275 8 7 0.5 4 426.67
true 0.2595996503072224 285 8 7 0.52 1 1.67
true 0.01301079638620287 1451 8 7 0.52 2 12.34
true 0.00036331344759546073 1865 8 7 0.52 3 23.18
true 0.011277090471476752 1863 8 7 0.52 4 33.62
true 0.25991908320442786 269 8 7 0.54 1 1.6
true 0.19114739959066718 1491 8 7 0.54 2 14.22
true 0.03567538044603487 2180 8 7 0.54 3 28.27
true 0.007924221410450532 10471 8 7 0.54 4 162.92
true 0.305544962868013 628 8 7 0.56 1 3.6
true 0.3028445492189948 1032 8 7 0.56 2 9.59
true 0.03463399686486903 7304 8 7 0.56 3 86.08
true 0.010499515413459773 8409 8 7 0.56 4 127.81
true 0.2550192258675811 257 8 7 0.58 1 2.09
true 0.01518704588725532 948 8 7 0.58 2 9.59
true 0.0007487873781765186 2865 8 7 0.58 3 35.7
true 0.07551411940640547 11763 8 7 0.58 4 182.92
true 0.2539351325965159 282 8 7 0.6 1 1.69
true 0.015795751423038858 1566 8 7 0.6 2 14.61
true 0.11485772054375747 2895 8 7 0.6 3 36.92
true 0.017105965750663105 8632 8 7 0.6 4 134.34
true 0.1250018434404511 312 8 8 0.0 1 1.31
true 6.65865951050143e-6 3396 8 8 0.0 2 21.58
true 1.5138912189092968e-5 2619 8 8 0.0 3 25.81
true 8.595042752974902e-6 2684 8 8 0.0 4 34.93
true 0.25000022043458153 426 8 8 0.02 1 1.76
true 3.589557040384328e-6 707 8 8 0.02 2 5.11
true 2.2300925903509516e-6 7342 8 8 0.02 3 71.79
true 8.634963171445798e-6 2480 8 8 0.02 4 33.35
true 0.12500019175606786 414 8 8 0.04 1 1.68
true 2.890037527812639e-6 2724 8 8 0.04 2 17.89
true 3.925112752236476e-5 3249 8 8 0.04 3 30.01
true 2.8108696893403007e-6 3296 8 8 0.04 4 42.73
true 1.4362342420498608e-6 400 8 8 0.06 1 1.64
true 5.357035257086418e-6 2740 8 8 0.06 2 17.8
true 3.155366547644145e-6 1516 8 8 0.06 3 15.45
true 6.192622770025136e-6 2152 8 8 0.06 4 30.23
