g_converged	min_loss	iter	nsites	nqubits0	h	nlayers	time
TRUE	5,27E-11	532	8	7	0,22	1	3,49
TRUE	0,142926784	370	8	7	0,24	1	2,65
TRUE	0,000109164	219	8	7	0,26	1	1,7
TRUE	0,142891726	376	8	7	0,28	1	2,69
TRUE	0,142907068	179	8	7	0,3	1	1,44
TRUE	0,143101293	212	8	7	0,32	1	1,69
TRUE	0,143311454	335	8	7	0,34	1	2,42
TRUE	0,00149423	398	8	7	0,36	1	2,7
TRUE	0,007320066	420	8	7	0,38	1	2,85
TRUE	0,166451357	265	8	7	0,4	1	1,8
TRUE	0,292838937	368	8	7	0,42	1	2,63
TRUE	0,178143137	672	8	7	0,44	1	4,67
TRUE	0,262886731	289	8	7	0,46	1	2,05
TRUE	0,206631512	248	8	7	0,48	1	1,6
TRUE	0,349114853	424	8	7	0,5	1	2,42
TRUE	0,25959965	285	8	7	0,52	1	1,67
TRUE	0,259919083	269	8	7	0,54	1	1,6
TRUE	0,305544963	628	8	7	0,56	1	3,6
TRUE	0,255019226	257	8	7	0,58	1	2,09
TRUE	0,253935133	282	8	7	0,6	1	1,69
TRUE	0,14286286	1420	8	7	0	2	9,08
TRUE	0,142857439	523	8	7	0	2	7,59
TRUE	9,10E-08	2912	8	7	0,02	2	25,54
TRUE	6,11E-10	1261	8	7	0,04	2	11,96
TRUE	1,82E-09	3606	8	7	0,06	2	34,27
TRUE	1,28E-10	1231	8	7	0,08	2	11,16
TRUE	4,55E-10	2274	8	7	0,1	2	20,75
TRUE	1,01E-11	2039	8	7	0,12	2	19,45
TRUE	2,14E-10	1580	8	7	0,14	2	15,22
TRUE	0,1428581	1117	8	7	0,16	2	11,92
TRUE	0,000403634	2130	8	7	0,18	2	21,23
TRUE	3,74E-10	2310	8	7	0,2	2	22,67
TRUE	5,50E-10	1091	8	7	0,22	2	10,5
TRUE	7,81E-10	653	8	7	0,24	2	7,5
TRUE	0,000107237	1558	8	7	0,26	2	16,11
TRUE	0,000139115	2758	8	7	0,28	2	30,08
TRUE	0,000203051	1992	8	7	0,3	2	22,42
TRUE	0,071524806	1438	8	7	0,32	2	15,08
TRUE	0,000471185	1437	8	7	0,34	2	16,76
TRUE	0,000498652	1377	8	7	0,36	2	15,06
TRUE	0,000971306	1709	8	7	0,38	2	17,86
TRUE	0,018270167	2249	8	7	0,4	2	24,13
TRUE	0,017269136	1102	8	7	0,42	2	12,39
TRUE	0,066767386	752	8	7	0,44	2	8,84
TRUE	0,010336397	530	8	7	0,46	2	6,5
TRUE	0,154239075	1731	8	7	0,48	2	18,15
TRUE	0,012203077	2619	8	7	0,5	2	23,87
TRUE	0,013010796	1451	8	7	0,52	2	12,34
TRUE	0,1911474	1491	8	7	0,54	2	14,22
TRUE	0,302844549	1032	8	7	0,56	2	9,59
TRUE	0,015187046	948	8	7	0,58	2	9,59
TRUE	0,015795751	1566	8	7	0,6	2	14,61
TRUE	2,82E-09	2864	8	7	0	3	35,79
TRUE	2,26E-09	1464	8	7	0,02	3	19,97
TRUE	3,25E-09	1014	8	7	0,04	3	15,08
TRUE	0,000150868	4288	8	7	0,06	3	55,95
TRUE	2,02E-11	2212	8	7	0,08	3	30,28
TRUE	7,31E-09	1811	8	7	0,1	3	26,13
TRUE	4,86E-09	1202	8	7	0,12	3	18,5
TRUE	1,98E-11	2046	8	7	0,14	3	28,32
